series_id,level,status,best_model,modelo_guardado,n_weeks,n_folds,order,message,MAE,RMSE,MAPE,sMAPE,WAPE,MASE
Aysén,region,ok,sarimax,sarimax,644,13,"[3, 0, 3]","dataset_Aysén.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Aysén.parquet: descartada semana final 18 por incompleta (total 1087 < 50% de la mediana reciente 5312).",555.7483991353965,804.7320089555069,11.546292030339927,11.40021944768312,9.225129285948427,0.43572288280669924
Coquimbo,region,ok,arima_fourier,arima_fourier,644,13,"[2, 0, 0]","dataset_Coquimbo.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Coquimbo.parquet: descartada semana final 18 por incompleta (total 1444 < 50% de la mediana reciente 6962).",812.5885305849905,1049.380225190924,13.417778129279782,13.063746746210537,11.822280427631608,0.5489872292469715
Metropolitana,region,ok,arima_fourier,arima_fourier,644,13,"[2, 0, 0]","dataset_Metropolitana.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Metropolitana.parquet: descartada semana final 18 por incompleta (total 10780 < 50% de la mediana reciente 57307).",8329.795399124074,10700.946514132842,17.371962403478236,15.513823455979786,13.679522586782175,0.5511536521016572
Valparaíso,region,ok,sarimax,sarimax,644,13,"[2, 1, 1]","dataset_Valparaíso.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Valparaíso.parquet: descartada semana final 18 por incompleta (total 2775 < 50% de la mediana reciente 16448).",2087.3484826483245,2868.7116588309104,13.707763423308966,13.243865355998608,12.501525642105946,0.5714118614044269
Arica_y_Parinacota,region,ok,arima_fourier,arima_fourier,644,13,"[2, 1, 2]","dataset_Arica_y_Parinacota.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Arica_y_Parinacota.parquet: descartada semana final 18 por incompleta (total 447 < 50% de la mediana reciente 2468).",315.68779999463146,462.2810509951843,17.13711421361793,15.957968555089844,15.721955694904691,0.5840282161955435
O'Higgins,region,ok,arima_fourier,arima_fourier,644,13,"[2, 1, 1]","dataset_O'Higgins.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_O'Higgins.parquet: descartada semana final 18 por incompleta (total 1953 < 50% de la mediana reciente 9690).",1379.5500648767897,1819.1481715089215,16.164785225891485,15.555897945012712,13.595979647441691,0.590833881267635
Antofagasta,region,ok,seasonal_naive,sarimax,644,13,"[2, 1, 2]","dataset_Antofagasta.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Antofagasta.parquet: descartada semana final 18 por incompleta (total 941 < 50% de la mediana reciente 5350).",673.9423076923077,866.7867162909579,11.82886318933392,11.037840321723822,11.618693348716622,0.6039992002978202
Atacama,region,ok,sarimax,sarimax,644,13,"[2, 1, 2]","dataset_Atacama.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Atacama.parquet: descartada semana final 18 por incompleta (total 617 < 50% de la mediana reciente 3514).",622.3017659801645,795.682367583061,18.175216753536606,17.65964682842202,16.5996510915906,0.6096415432650275
Magallanes,region,ok,sarimax,sarimax,644,13,"[2, 0, 0]","dataset_Magallanes.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Magallanes.parquet: descartada semana final 18 por incompleta (total 716 < 50% de la mediana reciente 4624).",703.7851717479175,906.6427857514645,15.021626205924388,14.997075516831682,13.402142672271534,0.6490509458717888
Maule,region,ok,seasonal_naive,sarimax,644,13,"[2, 1, 1]","dataset_Maule.parquet: en 2026 se descartan semanas fuera de secuencia [53] (artefacto, p. ej. semana 53 espuria).; dataset_Maule.parquet: descartada semana final 18 por incompleta (total 3651 < 50% de la mediana reciente 18516).",2344.4615384615386,3231.472854240355,12.833734115662912,12.954707397277462,12.279180327043266,0.6873913637827919
