fecha,fold,y_true,pred_seasonal_naive,pred_arima_fourier,lo_arima_fourier,hi_arima_fourier,pred_sarimax,lo_sarimax,hi_sarimax
2025-05-12,0,7799.0,7763.0,7441.034215522493,5778.430483144713,9581.929222270344,7616.65624758429,5922.257050796041,9795.75307161646
2025-05-19,0,8328.0,11606.0,7916.581492470179,5461.932459504875,11474.17329833288,7900.106485805518,5444.518830198807,11463.01025258394
2025-05-26,0,8292.0,12793.0,8026.474114747056,5245.27008116451,12282.077246497814,8163.4163057412425,5318.549396016322,12529.703007170448
2025-06-02,0,7768.0,10642.0,8144.514283771976,5175.728338263527,12815.860111571825,8029.755082813314,5100.576366196669,12640.784140969898
2025-06-09,1,7464.0,9827.0,7601.482210698913,5903.967889779455,9786.984768559363,7486.824248325523,5813.293963312651,9642.047346348416
2025-06-16,1,7050.0,6649.0,7510.347018063222,5191.712641766904,10864.291018023545,7416.815930227314,5121.014519367148,10741.646856364754
2025-06-23,1,6557.0,4724.0,7350.632751264814,4820.573526760455,11208.308291059602,7120.341781495541,4660.301400013158,10878.688828688686
2025-06-30,1,5302.0,4021.0,7198.785266026847,4599.356180610768,11267.020527492095,7018.765596204567,4471.454388486993,11016.912033380724
2025-07-07,2,4447.0,3295.0,5254.165319383184,4080.372030302302,6765.538881779476,5236.709781047637,4068.532006728708,6740.218328083524
2025-07-14,2,4550.0,3149.0,5578.300145627494,3851.327826491365,8079.462389762496,5485.748605025398,3789.9729488638336,7940.077570540445
2025-07-21,2,4918.0,3552.0,5892.321186014664,3861.838971783061,8990.116340916893,5821.941554121022,3807.526725993129,8901.825365855266
2025-07-28,2,6143.0,4325.0,6258.908355668635,4002.4175526413133,9787.250190269599,6316.769062775963,4029.3355402748625,9902.444894775927
2025-08-04,3,7083.0,5911.0,6870.866942923605,5339.001642310215,8842.172426594345,6914.551411830325,5376.6152176051,8892.319695522398
2025-08-11,3,7911.0,6626.0,7270.3355175439965,5008.630459346931,10553.135806573922,7358.04941317612,5088.198343715099,10640.284659782852
2025-08-18,3,7879.0,7422.0,7574.549707900091,4931.831444534956,11633.079538729406,7749.469309222941,5071.725858450098,11840.715123071965
2025-08-25,3,8154.0,8207.0,7744.276811985897,4908.851632052339,12217.151868921268,7785.692359843927,4968.973329371644,12198.77933252161
2025-09-01,4,8038.0,8244.0,8188.489743409411,6369.898446927793,10526.203159194869,8077.360450619289,6274.654311494874,10397.90094816023
2025-09-08,4,8329.0,8098.0,8059.075295202026,5566.168914895836,11668.272974725529,7893.218896421003,5461.953122505064,11406.509928628839
2025-09-15,4,8232.0,8050.0,8033.609210954542,5252.886849076488,12286.08326371795,7836.951665433529,5138.142513202203,11953.034384501429
2025-09-22,4,7965.0,7462.0,8007.296664868144,5106.672612080462,12555.171928649826,7878.003162360029,5038.391364584708,12317.688179042667
2025-09-29,5,8694.0,7604.0,7949.730200344906,6188.337407870074,10212.389019363594,7912.959475589287,6154.002323667296,10174.585854848641
2025-10-06,5,7879.0,7598.0,7979.590160381627,5517.373794976863,11540.410871071137,7948.353967434854,5497.027757283684,11492.617582387862
2025-10-13,5,8120.0,7797.0,8009.367102835615,5237.74419486708,12247.351653638834,7980.821075872144,5225.696807541087,12188.241127458674
2025-10-20,5,8392.0,7801.0,7987.558497897009,5096.940392912206,12517.205776405111,8132.701637208297,5212.973972015884,12687.422051624962
2025-10-27,6,8075.0,7417.0,8154.858474821939,6355.524957623331,10463.527065460554,8111.684514923137,6295.107871110167,10452.386661411925
2025-11-03,6,7929.0,6813.0,7887.558110822905,5490.340744271894,11331.268741972037,7836.930860292867,5361.158372269463,11455.797040616037
2025-11-10,6,7885.0,6736.0,7419.726709582664,4903.558617318924,11226.755481168255,7554.6190721692665,4866.17210703688,11728.065319303572
2025-11-17,6,7510.0,7005.0,6935.406868390777,4457.267428824248,10791.026501772123,6703.599861582491,4208.777330534599,10676.918515520048
2025-11-24,7,7104.0,7510.0,6809.454027296953,5309.546107985245,8732.995170135555,6924.434203775698,5403.767553624275,8872.950347534317
2025-12-01,7,6354.0,7773.0,6120.624136755637,4254.049688872426,8806.013974410193,6237.090278989234,4316.150281627126,9012.76319801252
2025-12-08,7,5760.0,8267.0,5424.193566007388,3574.6240732174497,8230.49319558181,5371.328166716449,3508.51779458754,8222.896164711412
2025-12-15,7,5477.0,7762.0,4828.0159629609325,3090.764505378529,7541.422823589689,4776.0780964263895,3039.297412416835,7505.000908383503
2025-12-22,8,5249.0,6222.0,4825.088263648531,3765.77731399859,6182.303653754248,4780.582193165121,3735.205369532868,6118.451691932116
2025-12-29,8,4826.0,5299.0,4250.392982934092,2951.9642035684133,6119.745477882831,4189.160472213743,2908.943611616346,6032.603095542496
2026-01-05,8,2411.0,2248.0,3779.346003118075,2485.89106499823,5745.538762565771,3762.8788220095344,2474.0722187342844,5722.786029167484
2026-01-12,8,3337.0,3189.0,3628.376413295935,2321.6350190230078,5670.305668563318,3643.3004557831705,2335.9502926954083,5682.015960387998
2026-01-19,9,3107.0,2536.0,3506.6402940214166,2721.769642318891,4517.759222599576,3479.419848024795,2703.4763274634943,4477.989960280373
2026-01-26,9,2539.0,2530.0,3257.7735206864877,2252.3048790909565,4711.901905849345,3248.888370638766,2247.833957237754,4695.555914064073
2026-02-02,9,2689.0,2470.0,3346.5417467162624,2196.0901496911333,5099.3987012474245,3428.828812896503,2250.0496668426663,5224.884554681953
2026-02-09,9,2610.0,2076.0,3176.5794746723714,2032.5788128900715,4964.1438409261955,3242.193255554188,2076.980646820671,5060.790401640783
2026-02-16,10,2706.0,2264.0,2856.154034973897,2217.368064264428,3678.880408968309,2889.8622411618853,2238.8746810706525,3730.050030611921
2026-02-23,10,2723.0,2469.0,2993.8836498189144,2082.4926635437882,4303.948240468889,3088.504637151942,2128.678409788511,4480.915607122688
2026-03-02,10,3197.0,2302.0,3342.97302590838,2207.9903023660677,5061.111674290982,3446.805411983274,2252.2339364713066,5274.689295500962
2026-03-09,10,2812.0,2303.0,3581.711316966421,2300.413825375442,5576.363027540383,3704.1532811561756,2364.536734068638,5802.40209439506
2026-03-16,11,4305.0,4296.0,3157.9813958983386,2452.5408049427724,4066.2498454186434,3137.775423564331,2437.610044084674,4038.969893287852
2026-03-23,11,6836.0,6823.0,3647.6090975198304,2532.67894104933,5253.157553597196,3574.0315177089587,2472.870767184332,5165.33711111721
2026-03-30,11,6626.0,6505.0,4243.621916323068,2798.4913327963027,6434.746023379827,4156.480746503931,2732.4521229116544,6322.376221837534
2026-04-06,11,5258.0,5112.0,4917.612970557169,3155.340237939089,7663.811690240884,4751.147826983425,3056.0482292151282,7386.161495748226
2026-04-13,12,4808.0,5669.0,5212.150847635319,4034.0159642202266,6734.2749037890935,5164.2526797273695,4004.1998556112353,6660.299362640457
2026-04-20,12,4814.0,5327.0,5487.232678680311,3787.328237964114,7949.920839827131,5368.231729157209,3698.472449099573,7791.63793906756
2026-04-27,12,5365.0,6466.0,5862.318075532969,3839.924518857847,8949.57913428993,5782.723880406921,3780.5334103019654,8845.004595294084
2026-05-04,12,5657.0,7066.0,6361.34291175348,4073.569750534059,9933.64581663722,6362.658920555885,4065.9080184952127,9956.479901931583
