fecha,fold,y_true,pred_seasonal_naive,pred_arima_fourier,lo_arima_fourier,hi_arima_fourier,pred_sarimax,lo_sarimax,hi_sarimax
2025-05-12,0,9106.0,12551.0,9232.62874734405,7076.580418476855,12045.475603611294,9200.959267614176,7057.170800579791,11995.883718919744
2025-05-19,0,10091.0,12353.0,9442.728360915182,6478.827721044252,13762.329704756618,9433.452507677874,6487.924049944306,13716.04976580721
2025-05-26,0,10930.0,11801.0,9531.105741338513,6216.879192165838,14611.866711617397,9445.364251552188,6183.517025365941,14427.57982393914
2025-06-02,0,9555.0,8750.0,9531.0330124939,6086.629098608664,14924.293883630264,9489.109439750246,6086.394090408703,14793.865560016671
2025-06-09,1,9850.0,7950.0,9165.88796153294,7026.451719234667,11956.653820558604,9220.440109919276,7074.432493158792,12017.34061494446
2025-06-16,1,9233.0,6916.0,9037.818889604641,6207.68274588082,13158.030709578146,9053.575787882204,6229.22858948061,13158.283246353156
2025-06-23,1,7831.0,5716.0,8955.060387129814,5851.428817986481,13704.594745791768,9003.330364966212,5897.64054993502,13744.19512336545
2025-06-30,1,6373.0,5321.0,8861.69865798351,5671.201226621079,13846.785782630508,8854.625684815994,5683.942138886203,13793.706147165332
2025-07-07,2,5309.0,4468.0,6493.2898655836925,4980.16293119941,8466.05908655503,6487.246799824941,4977.4670100083995,8454.88540625231
2025-07-14,2,5416.0,4917.0,6947.3938800621145,4769.8494216482695,10118.828409047637,6937.761152528323,4775.475143989675,10078.903041559772
2025-07-21,2,7219.0,5897.0,7391.721477344859,4824.2892980914485,11325.228846675087,7399.153837380118,4840.367450962292,11310.324201596572
2025-07-28,2,8931.0,8442.0,7734.843591393586,4942.3432791261475,12104.830546545401,7680.602046468317,4911.950289393784,12009.504182729517
2025-08-04,3,9191.0,9284.0,9288.563150745867,7118.586535067209,12119.926279447329,9138.312678420707,7006.908141030527,11917.9684786106
2025-08-11,3,9450.0,10296.0,9168.71233538974,6283.342485321165,13378.860265445352,9013.620709738014,6192.629775936635,13119.478536860624
2025-08-18,3,9480.0,10500.0,8975.966762782671,5845.324132352277,13783.034281328999,8913.100696515636,5829.599705069239,13627.30501955664
2025-08-25,3,8974.0,11002.0,8828.88921922761,5629.350828145948,13846.61731614976,8957.943091248197,5743.289156913611,13971.601155640406
2025-09-01,4,8502.0,10740.0,8764.512332497781,6726.8334544671725,11419.34905756385,8725.971469010647,6702.012852717071,11361.059523734066
2025-09-08,4,8001.0,10419.0,8674.27163772444,5955.367455050879,12634.274528687256,8616.418977554744,5925.488525267793,12529.17018730584
2025-09-15,4,8780.0,9462.0,8617.153169641368,5620.735424360495,13210.679036611455,8510.665458571973,5567.818391907899,13008.662693242566
2025-09-22,4,7099.0,10051.0,8545.596159302686,5455.5935727442575,13385.429635343284,8464.346906840785,5426.143719218592,13203.385577516427
2025-09-29,5,8406.0,10311.0,6950.349647863327,5335.146329787286,9054.46042789569,6976.099363346189,5358.591373133238,9081.766229162604
2025-10-06,5,7818.0,9865.0,7099.710953888343,4887.083535583772,10313.900652500482,7137.622136409168,4909.071340561928,10377.652869145264
2025-10-13,5,8441.0,9483.0,7203.852353795531,4718.969959709298,10996.929623092374,7243.455566531826,4738.422140908762,11072.530674224927
2025-10-20,5,8093.0,9076.0,7168.91790789003,4599.649150853465,11173.015040104832,7250.2478603394175,4646.410841834457,11312.954655948173
2025-10-27,6,8055.0,8987.0,7623.644100739645,5866.042143932448,9907.774513076554,7585.16412673034,5827.419709616747,9873.012000668796
2025-11-03,6,7786.0,8409.0,7124.494493072404,4935.471939885334,10284.21429658618,7062.097226924258,4862.943043784139,10255.563859385345
2025-11-10,6,7775.0,8285.0,6624.011711557717,4379.922363810526,10017.616294332298,6609.68918560574,4332.620729133741,10083.22615640853
2025-11-17,6,7216.0,7596.0,6134.740269202466,3980.0518196343855,9455.623615256089,6089.74171215798,3912.516900876992,9478.231991027795
2025-11-24,7,6643.0,7682.0,6406.91499521494,4920.099552538542,8342.943085792487,6361.350028905512,4889.568922936618,8276.052941727568
2025-12-01,7,6344.0,7527.0,5681.4452797480735,3909.751418210165,8255.772395957969,5661.282098900592,3900.7656328202156,8216.161558306087
2025-12-08,7,5714.0,7944.0,5096.143170406238,3335.9736650189357,7784.7577277198925,5019.443967434694,3291.1066812970166,7655.148500090909
