fecha,fold,y_true,pred_seasonal_naive,pred_arima_fourier,lo_arima_fourier,hi_arima_fourier,pred_sarimax,lo_sarimax,hi_sarimax
2025-05-12,0,23266.0,30920.0,22629.901163539478,17548.225267458864,29183.06252517455,22652.521619920513,17576.49265009078,29194.40642115164
2025-05-19,0,24762.0,35486.0,23219.62949375605,15806.145746092834,34110.00541156019,23130.697192159798,15761.206008363979,33945.73402351446
2025-05-26,0,26225.0,33741.0,23600.550701689273,14952.841617358896,37249.17355257979,23739.66824483673,15056.916093379128,37429.101563603406
2025-06-02,0,24540.0,27522.0,23702.598795253572,14472.750769224662,38818.280835001184,23942.85425784997,14633.159424769749,39175.022351566
2025-06-09,1,24126.0,22452.0,23692.263653562484,18386.044522581848,30529.77626846357,23434.53980941433,18197.228021456354,30179.110146498257
2025-06-16,1,23538.0,17791.0,23126.687027964155,15761.628995652874,33933.05423746109,22880.214604844245,15609.100441871218,33538.18084912581
2025-06-23,1,19704.0,13306.0,22638.124293387893,14363.846703383442,35678.45828831898,22572.87689453184,14337.493903944694,35538.29174592645
2025-06-30,1,17808.0,12221.0,22174.49894370743,13561.294096313875,36257.81800749505,22191.07781491337,13583.915976124094,36251.58474978671
2025-07-07,2,14569.0,11022.0,17709.557016542654,13750.231538564685,22808.871898131652,17746.93978913674,13787.236433584081,22843.79006985997
2025-07-14,2,13791.0,10526.0,18148.76623180897,12376.590849912553,26612.742388458457,18059.14045487927,12326.841580112598,26456.889739282953
2025-07-21,2,15736.0,13171.0,18686.88434686257,11864.35635104191,29432.336094540824,18744.491086884744,11912.35351740155,29494.761674091467
2025-07-28,2,19937.0,17457.0,19191.97550847196,11744.907988342231,31360.586454994427,19117.184864999756,11708.66087511519,31212.969083345477
2025-08-04,3,22050.0,22082.0,21668.30282732322,16823.665734014885,27907.94585637553,21622.15103018191,16797.21775951832,27832.94447956389
2025-08-11,3,23825.0,22134.0,22135.726976063852,15086.055526676355,32479.47177571081,22244.9334288062,15173.822168332286,32611.01670960106
2025-08-18,3,24506.0,23171.0,22193.654600052927,14077.242932265159,34989.35321280621,22315.60286166283,14167.46768942207,35149.643965331445
2025-08-25,3,25052.0,24576.0,22236.668360536383,13594.663567169378,36371.913441852616,22201.98463580694,13583.901789714764,36287.265779816866
2025-09-01,4,24537.0,23367.0,24859.838955978375,19316.814612279388,31993.3702742763,24853.25062738305,19322.538356461206,31966.943078200242
2025-09-08,4,23571.0,23512.0,24581.13348484348,16769.840832596587,36030.66309301284,24565.86926774541,16774.30161279361,35976.36002303611
2025-09-15,4,23252.0,23567.0,24402.518248105185,15495.156334517722,38429.93022745612,24622.171333945087,15649.024937406652,38740.1885262647
2025-09-22,4,21198.0,21685.0,24308.344454442922,14877.5201198364,39716.943924872874,24310.66229834279,14890.557184730274,39689.739952617514
2025-09-29,5,22539.0,23746.0,21019.890140560703,16344.529394042635,27032.558329568143,21123.779505187937,16434.894844189846,27150.324182422693
2025-10-06,5,21773.0,22435.0,21353.151470390443,14582.42057823844,31267.369623847157,21449.791334927777,14661.759149187665,31380.300355063442
2025-10-13,5,22936.0,24310.0,21621.16818837363,13745.987576926274,34007.771343550616,21850.345981405553,13904.778691976451,34335.899196777274
2025-10-20,5,24303.0,26235.0,21579.52927950292,13225.875427606035,35209.07259291732,21695.03394920443,13307.330897890117,35369.1672085459
2025-10-27,6,24447.0,25494.0,23792.2082343308,18511.932476081543,30578.5291380035,23875.879531558025,18587.947332400923,30668.051128614956
2025-11-03,6,25486.0,24269.0,22445.5632514104,15345.198737028788,32831.11760993517,22700.329301420585,15533.273739595363,33174.05283417007
2025-11-10,6,26910.0,24964.0,20806.292287457123,13245.94087636663,32681.52016645373,20702.872004356046,13192.18425344364,32489.28496368291
2025-11-17,6,27048.0,24541.0,19116.52355898731,11733.757466117302,31144.058437186566,19310.01374511562,11861.749912520872,31434.81839067858
2025-11-24,7,26406.0,25462.0,23952.578533922253,18644.315318184257,30772.087759003745,23982.41331089499,18678.71925605839,30791.97424958135
2025-12-01,7,22984.0,25769.0,20479.54711349675,14001.515628234218,29954.532363226856,20034.336961193494,13709.951626437181,29275.94138855879
2025-12-08,7,21281.0,26081.0,17560.616715034874,11173.545847632295,27598.366081722183,17555.782892252286,11181.602276329737,27563.301931593942
2025-12-15,7,17477.0,23373.0,15307.327076406482,9385.767763249542,24964.449640261853,15032.063162062754,9225.213994987591,24493.66142421425
2025-12-22,8,16253.0,18471.0,14902.127574696573,11605.972765680559,19134.326324224265,15106.218878217034,11772.801952915957,19383.397932549997
2025-12-29,8,14173.0,14491.0,13150.541545143798,8996.977997927157,19221.434757396426,13486.940405701629,9236.176983747035,19693.819825132494
2026-01-05,8,7452.0,6491.0,11957.086961401086,7612.105192439133,18781.85406044899,12142.950289050856,7738.000568087159,19055.146504378634
2026-01-12,8,10595.0,9624.0,11615.531530084842,7123.884781516952,18938.78764955193,11697.367595610021,7179.899142270911,19056.753310644624
2026-01-19,9,9372.0,8022.0,11436.763488274135,8859.424487423952,14763.804304735038,11407.092040492205,8843.072169455862,14714.457032769653
2026-01-26,9,8606.0,7051.0,11368.835257669314,7746.18885121654,16685.459600922273,11530.074462406965,7863.897136114147,16905.21961818425
2026-02-02,9,7339.0,6469.0,11100.847588185565,7051.5482045916,17475.097475102462,11064.658030198796,7035.276739922873,17401.49739561058
2026-02-09,9,6892.0,6486.0,10942.50158928465,6704.758935207761,17858.30991433189,10846.09600639497,6650.925276876294,17687.035700124685
2026-02-16,10,7851.0,6919.0,7394.275023537276,5727.488565474546,9546.03706722399,7309.476593905848,5666.379473426629,9428.943465164213
2026-02-23,10,8553.0,7138.0,8275.142686406945,5639.593448649855,12142.143871175856,8340.70724731065,5690.492037604398,12224.98210453152
2026-03-02,10,8527.0,7466.0,9339.032358300334,5932.249578873318,14701.93863327806,9405.32074240447,5980.812167863513,14790.315311491975
2026-03-09,10,9963.0,7909.0,10517.245457690666,6440.093773010082,17175.19575293476,10571.800536139703,6479.54710829811,17248.178087735898
2026-03-16,11,17704.0,15131.0,11410.288126444739,8843.38530476748,14722.182246995297,11258.876429066582,8732.839120252562,14515.504764079385
2026-03-23,11,23956.0,23530.0,12892.558002147993,8796.103743405154,18896.564789932265,12917.391199245658,8822.487098952332,18912.704899796696
2026-03-30,11,23959.0,22877.0,14422.90012263868,9174.513417209078,22673.36003718891,13975.75138614486,8899.564411624062,21946.999056664023
2026-04-06,11,19770.0,20344.0,15994.166414021796,9808.944504322591,26079.20346083679,15847.552269478294,9728.052964169154,25816.169457647793
2026-04-13,12,18138.0,18972.0,19148.973564696313,14811.405554808696,24756.72663472039,19077.251174282505,14765.012318127425,24648.828269625228
2026-04-20,12,17764.0,20264.0,19860.028661440974,13495.148823530873,29226.631130061945,19607.005443848928,13333.796041277423,28831.37781034542
2026-04-27,12,17492.0,22105.0,21061.50165172312,13336.410596451926,33261.00184216081,20652.792739164423,13087.412768045595,32591.1226715758
2026-05-04,12,18893.0,22071.0,22335.64838850374,13642.958887656136,36566.52892175829,22359.473629656335,13665.948442547733,36582.937010107744
