fecha,fold,y_true,pred_seasonal_naive,pred_arima_fourier,lo_arima_fourier,hi_arima_fourier,pred_sarimax,lo_sarimax,hi_sarimax
2025-05-12,0,81520.0,121777.0,87592.5111917171,68176.1664196007,112538.48507733253,86517.85765067315,67327.98820366515,111177.1556338605
2025-05-19,0,84647.0,148947.0,92478.81532669035,64545.92477122021,132499.7546551946,91128.47922135511,63693.13761202326,130381.20304889994
2025-05-26,0,90391.0,129759.0,96112.98443645585,63660.01662447809,145109.75213805563,95853.63560632576,63648.74768674882,144353.24335757986
2025-06-02,0,83398.0,94855.0,98220.3935665756,63556.0465493025,151790.85751931407,97329.06910139631,63171.346290919966,149956.10793544163
2025-06-09,1,88249.0,82002.0,84780.06905086167,65959.55721602155,108970.63354558623,85568.00814628838,66556.5907998503,110009.82021069847
2025-06-16,1,86692.0,64846.0,87444.37497573209,60972.69684536283,125408.70943650333,88028.64729816551,61933.32805177262,125118.93020997386
2025-06-23,1,77031.0,54059.0,89264.65370826129,59031.76108083483,134980.94538202236,89087.48863737934,59787.51332390996,132746.217926198
2025-06-30,1,64680.0,49351.0,89831.49294308602,58009.487076278565,139109.65386778148,90219.96804496899,59257.04297964747,137361.33371336592
2025-07-07,2,54452.0,45860.0,66167.07191268144,51493.954478130545,85021.18877581823,67079.67620850977,52210.432274816376,86183.51792140106
2025-07-14,2,50211.0,50653.0,70306.22021894132,49150.987387798225,100566.7588561112,70827.30785925164,49706.41814800061,100922.55187847778
2025-07-21,2,59939.0,64466.0,74036.15384674096,49171.95113454496,111472.89008090524,75202.11824660344,50282.56416344618,112471.31750775359
2025-07-28,2,73187.0,75579.0,76633.99274214474,49743.89894791915,118059.79089108782,77641.7574284196,50818.00602199545,118623.86602904432
2025-08-04,3,74366.0,79367.0,78342.41076017235,60904.90616082254,100772.31405808935,78413.43323266829,61069.20924813941,100683.49764461754
2025-08-11,3,80074.0,78052.0,80008.59320379875,55780.66860753074,114759.55063317216,81486.14681749897,56675.93666116509,117156.97443594816
2025-08-18,3,83865.0,79931.0,80483.1418025598,53193.699700252706,121772.35558233786,82424.83121482472,54193.62022143231,125362.32247915535
2025-08-25,3,76316.0,79497.0,80678.66065693367,52015.78523255427,125135.67683646541,80384.35616433345,51498.61205961676,125471.89634311137
2025-09-01,4,75530.0,75321.0,75692.4567007875,58959.34056341626,97174.47986602088,76579.51621171305,59645.367144914286,98321.42505237783
2025-09-08,4,73160.0,76609.0,76802.57704477453,53877.06872072781,109483.05514400429,77380.89019536384,54034.55513187655,110814.12747659258
2025-09-15,4,79830.0,76389.0,78084.2386628074,52092.93158166006,117043.42939711196,79570.76135796268,52713.925244048085,120110.43288728187
2025-09-22,4,74116.0,74501.0,79015.11434911175,51517.81890840403,121188.62466768475,79694.76819646316,51568.39759208235,123161.49103130009
2025-09-29,5,74362.0,74938.0,72992.38446229856,56779.63984954344,93834.40216135434,73949.03622653498,57607.95372663589,94925.35266134661
2025-10-06,5,68839.0,66645.0,73091.4001417208,50614.455963603614,105549.7424909714,74727.61541687146,52262.14286501873,106849.94037581234
2025-10-13,5,75463.0,70782.0,73256.5100528069,47695.91734038785,112514.92510346214,75382.58961771386,50073.668233275894,113483.23832143549
2025-10-20,5,80501.0,76019.0,73043.22665467474,46082.34772980397,115777.46034238608,75019.00984478902,48708.79369347524,115540.48458374853
2025-10-27,6,85321.0,76164.0,78677.00754272507,61392.282977436225,100828.09026331411,78883.02934065954,61517.093211388375,101151.19377225556
2025-11-03,6,83908.0,74506.0,74591.1434844441,52356.50310432685,106268.15990468775,75418.71146524095,52750.425472543546,107827.98900923162
2025-11-10,6,79259.0,74052.0,69910.79020951713,46622.95754470432,104830.47865800787,69816.76513985448,46349.13629475473,105166.33539088882
2025-11-17,6,74563.0,71217.0,65167.2638238567,42454.001267355765,100032.03457869148,66280.53016454552,42999.215972124104,102166.88780320495
2025-11-24,7,67179.0,70602.0,67353.36657131583,52442.287041039344,86504.07914717618,67323.14185064165,52563.80206584139,86226.66371778534
2025-12-01,7,56935.0,70574.0,60512.70714397986,42321.23044085241,86523.47458848072,59802.93657483012,41982.45651324809,85187.57490253853
2025-12-08,7,50066.0,70853.0,54665.104603199565,36300.989541569725,82319.08851927891,54391.574690662026,36234.66398732636,81646.52224532214
2025-12-15,7,44870.0,61627.0,49814.80319844365,32309.87857132313,76803.29496301521,49063.26787028645,31887.5182295892,75490.19605731631
2025-12-22,8,41104.0,51232.0,42325.91273257033,33047.1430799505,54209.83832566448,42628.74423653079,33314.87395047381,54546.42374081365
2025-12-29,8,38902.0,44002.0,40579.453111615694,28485.029354948252,57808.85318187149,40926.677264018785,28780.6758062828,58198.34799842422
2026-01-05,8,20191.0,20532.0,39198.60658510076,26121.454945111174,58822.305836125175,39205.98019639052,26213.368937169365,58638.11123721844
2026-01-12,8,31462.0,29626.0,39356.928851318095,25601.65211397772,60502.363345694874,39141.97864851104,25586.412283920872,59878.94254661728
2026-01-19,9,27805.0,25292.0,35210.94047941389,27330.07108858975,45364.24559564061,35663.516695232785,27689.962291949974,45933.03933363155
2026-01-26,9,26034.0,24339.0,36147.160354784806,25260.075020186727,51726.390698575946,37430.23728378588,26166.562169663972,53542.295913876645
