fecha,fold,y_true,pred_seasonal_naive,pred_arima_fourier,lo_arima_fourier,hi_arima_fourier,pred_sarimax,lo_sarimax,hi_sarimax
2025-05-12,0,21590.0,31742.0,23213.516291174612,17636.9209728401,30553.268128486474,22642.63872482258,17214.048233920796,29783.080052124686
2025-05-19,0,21548.0,38545.0,23825.48509687784,16119.496833763236,35215.12255043726,23802.408209067686,16107.274263383846,35173.60859574944
2025-05-26,0,23002.0,36063.0,24229.15200363908,15424.856499346808,38058.492265101464,24137.193107490068,15367.93470810816,37910.044425681124
2025-06-02,0,20146.0,27398.0,24392.6948758785,15028.930019151478,39590.15903661771,24194.310030285757,14910.268417857487,39258.77395461311
2025-06-09,1,20556.0,23311.0,20228.722893521535,15377.561537203372,26610.181244659565,20489.466586359278,15586.01686961913,26935.47055358357
2025-06-16,1,21115.0,18017.0,20743.336776829183,14045.688465045383,30634.513087754483,20392.754597561434,13812.148307848849,30108.372412170094
2025-06-23,1,18181.0,12969.0,21146.936099250805,13475.176856695265,33186.09794431044,20924.880324088554,13336.136525912203,32831.56990638974
2025-06-30,1,15536.0,11516.0,21362.15338600277,13174.334333079707,34638.297269901064,21654.55051917665,13358.811739594817,35101.50574106032
2025-07-07,2,13344.0,10722.0,15962.332694006147,12137.755120232208,20991.9262247652,15927.13356132651,12117.48218477162,20934.413765452275
2025-07-14,2,13444.0,12103.0,16886.503278851316,11434.634046041876,24937.51813069549,16872.97008132138,11427.198904520199,24913.762919702887
2025-07-21,2,16736.0,15823.0,17748.81868556315,11306.668097759302,27861.160495566495,17785.945570997243,11330.842475428759,27918.15202065566
2025-07-28,2,19716.0,20375.0,18449.271406879663,11371.366673971264,29932.304539559682,18489.949545333562,11398.200713764252,29993.665737854524
2025-08-04,3,19236.0,21937.0,20552.351198130724,15631.513710498304,27022.180871416993,19501.653800478834,14840.581615489764,25626.558781495813
2025-08-11,3,20371.0,23002.0,20761.275327450177,14052.725239504414,30672.15387390109,20783.031687732873,14069.072783884281,30700.75825184537
2025-08-18,3,20629.0,23286.0,20840.802774365657,13267.113495565714,32737.69665274786,20852.783102923575,13274.624450967021,32756.801436007278
2025-08-25,3,20035.0,25367.0,20915.52793322298,12882.220772129898,33957.98809152891,20819.652745923817,12824.558304631924,33798.665517078305
2025-09-01,4,19978.0,24817.0,20121.95140336724,15316.621808448226,26434.773010072895,20313.828434534244,15472.449867064355,26669.991787228217
2025-09-08,4,19678.0,24796.0,20321.734803814783,13773.322421577912,29983.309737020954,20434.702086533165,13851.18377841208,30147.164827294022
2025-09-15,4,20410.0,24535.0,20462.381395211578,13046.658780281434,32092.878693297575,20478.619430059556,13056.079323995837,32120.64080440924
2025-09-22,4,19061.0,23251.0,20478.35957079901,12634.02031342625,33192.786636370416,20308.905031390408,12530.146895804775,32916.35751036429
2025-09-29,5,20313.0,24161.0,18901.609382338836,14399.35708685765,24811.484808962043,19014.764908070036,14494.7929647202,24944.121382393278
2025-10-06,5,19172.0,22220.0,18841.051819287033,12784.970368458366,27765.59936867222,19017.486667234865,12905.991297966475,28022.791661560776
2025-10-13,5,21656.0,22649.0,18607.48795165443,11880.635124010067,29142.78536562901,18707.14684842069,11943.450538054552,29300.871809590844
2025-10-20,5,21896.0,22504.0,18151.244637477746,11215.300824163225,29376.242153579784,18224.490313547114,11261.133610213035,29493.27778657976
2025-10-27,6,22015.0,22864.0,20567.791364136956,15677.107263877018,26984.09271946219,20625.12083041684,15730.664524578602,27042.346865569612
2025-11-03,6,21183.0,21446.0,18976.618408120594,12888.542388759464,27940.255754611757,18973.54938291613,12887.542013880811,27933.38729508512
2025-11-10,6,22351.0,21032.0,17441.160493989628,11147.636243158679,27287.446412876874,17463.21528493346,11160.690332861206,27324.504150617267
2025-11-17,6,20842.0,19544.0,16022.952332731567,9911.083490066385,25903.447699515265,15982.552311117755,9886.246654145503,25837.73482868187
