,region,anio,semana,pm2_5_ug_m3,pm10_ug_m3,humedad_relativa_promedio_porcentaje,precipitacion_promedio_diario_mm,radiacion_solar_media_MJ_m2,temp_promedio_semanal
0,Antofagasta,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),79.4,0.0,28.95,21.7
1,Arica y Parinacota,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),74.2,0.58,23.98,23.0
2,Atacama,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),50.6,0.0,33.68,23.82
3,Aysén,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),75.0,1.58,26.21,8.66
4,Bío Bío,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),56.2,0.0,33.34,18.08
5,Coquimbo,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),63.8,0.0,31.39,22.08
6,La Araucanía,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),65.0,0.2,29.93,15.16
7,Los Lagos,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),76.8,3.7,26.49,13.0
8,Los Ríos,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),65.4,0.16,28.08,15.2
9,Magallanes,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),73.0,3.2,18.61,7.16
10,Maule,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),45.8,0.0,34.04,20.7
11,Metropolitana,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),41.4,0.0,34.16,22.36
12,O'Higgins,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),47.0,0.0,33.67,22.34
13,Tarapacá,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),72.6,0.1,27.92,23.84
14,Valparaíso,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),69.2,0.0,33.58,18.64
15,Ñuble,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),50.8,0.0,32.98,18.86
16,Antofagasta,2014,2,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),79.86,0.0,28.55,21.91
17,Arica y Parinacota,2014,2,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),73.14,0.09,23.52,23.27
