region,anio,semana,codigo_region,temp_promedio_semanal
Antofagasta,2014,1,2,21.7
Antofagasta,2014,2,2,21.91
Antofagasta,2014,3,2,22.21
Antofagasta,2014,4,2,21.87
Antofagasta,2014,5,2,21.4
Antofagasta,2014,6,2,21.36
Antofagasta,2014,7,2,20.53
Antofagasta,2014,8,2,20.56
Antofagasta,2014,9,2,20.26
Antofagasta,2014,10,2,20.53
Antofagasta,2014,11,2,20.24
Antofagasta,2014,12,2,20.11
Antofagasta,2014,13,2,19.59
Antofagasta,2014,14,2,19.47
Antofagasta,2014,15,2,18.81
Antofagasta,2014,16,2,18.56
Antofagasta,2014,17,2,18.31
Antofagasta,2014,18,2,17.94
Antofagasta,2014,19,2,17.64
Antofagasta,2014,20,2,17.74
Antofagasta,2014,21,2,16.53
Antofagasta,2014,22,2,16.81
Antofagasta,2014,23,2,15.67
Antofagasta,2014,24,2,16.36
Antofagasta,2014,25,2,16.67
Antofagasta,2014,26,2,15.11
Antofagasta,2014,27,2,15.01
Antofagasta,2014,28,2,15.49
Antofagasta,2014,29,2,16.51
Antofagasta,2014,30,2,15.04
Antofagasta,2014,31,2,16.7
Antofagasta,2014,32,2,15.86
Antofagasta,2014,33,2,17.03
Antofagasta,2014,34,2,15.99
Antofagasta,2014,35,2,17.63
Antofagasta,2014,36,2,17.73
Antofagasta,2014,37,2,16.27
Antofagasta,2014,38,2,16.9
Antofagasta,2014,39,2,16.61
Antofagasta,2014,40,2,16.93
Antofagasta,2014,41,2,16.5
Antofagasta,2014,42,2,17.61
Antofagasta,2014,43,2,18.4
Antofagasta,2014,44,2,17.4
Antofagasta,2014,45,2,17.49
Antofagasta,2014,46,2,18.51
Antofagasta,2014,47,2,18.2
Antofagasta,2014,48,2,18.14
Antofagasta,2014,49,2,18.4
Antofagasta,2014,50,2,19.03
Antofagasta,2014,51,2,18.79
Antofagasta,2014,52,2,19.36
Antofagasta,2015,1,2,20.03
Antofagasta,2015,2,2,20.23
Antofagasta,2015,3,2,20.34
Antofagasta,2015,4,2,20.6
Antofagasta,2015,5,2,21.93
Antofagasta,2015,6,2,21.87
Antofagasta,2015,7,2,22.56
Antofagasta,2015,8,2,22.11
Antofagasta,2015,9,2,20.64
Antofagasta,2015,10,2,20.5
Antofagasta,2015,11,2,21.83
Antofagasta,2015,12,2,22.0
Antofagasta,2015,13,2,21.87
Antofagasta,2015,14,2,20.39
Antofagasta,2015,15,2,20.24
Antofagasta,2015,16,2,20.24
Antofagasta,2015,17,2,18.86
Antofagasta,2015,18,2,18.9
Antofagasta,2015,19,2,19.71
Antofagasta,2015,20,2,18.49
Antofagasta,2015,21,2,18.14
Antofagasta,2015,22,2,17.49
Antofagasta,2015,23,2,17.43
Antofagasta,2015,24,2,17.56
