region,anio,semana,radiacion_solar_media_MJ_m2
Antofagasta,2014,1,28.95
Antofagasta,2014,2,28.55
Antofagasta,2014,3,28.82
Antofagasta,2014,4,27.24
Antofagasta,2014,5,28.1
Antofagasta,2014,6,28.3
Antofagasta,2014,7,28.01
Antofagasta,2014,8,27.55
Antofagasta,2014,9,26.66
Antofagasta,2014,10,26.31
Antofagasta,2014,11,24.72
Antofagasta,2014,12,22.47
Antofagasta,2014,13,21.88
Antofagasta,2014,14,20.32
Antofagasta,2014,15,21.5
Antofagasta,2014,16,19.63
Antofagasta,2014,17,17.23
Antofagasta,2014,18,15.71
Antofagasta,2014,19,15.48
Antofagasta,2014,20,15.78
Antofagasta,2014,21,12.43
Antofagasta,2014,22,15.85
Antofagasta,2014,23,13.79
Antofagasta,2014,24,15.68
Antofagasta,2014,25,14.1
Antofagasta,2014,26,13.1
Antofagasta,2014,27,13.94
Antofagasta,2014,28,14.46
Antofagasta,2014,29,15.82
Antofagasta,2014,30,16.32
Antofagasta,2014,31,16.9
Antofagasta,2014,32,17.46
Antofagasta,2014,33,18.92
Antofagasta,2014,34,17.65
Antofagasta,2014,35,21.5
Antofagasta,2014,36,22.04
Antofagasta,2014,37,20.59
Antofagasta,2014,38,22.75
Antofagasta,2014,39,23.74
Antofagasta,2014,40,22.98
Antofagasta,2014,41,23.44
Antofagasta,2014,42,27.18
Antofagasta,2014,43,26.69
Antofagasta,2014,44,25.89
Antofagasta,2014,45,28.4
Antofagasta,2014,46,29.58
Antofagasta,2014,47,27.76
Antofagasta,2014,48,27.97
Antofagasta,2014,49,29.76
Antofagasta,2014,50,29.97
Antofagasta,2014,51,29.02
Antofagasta,2014,52,29.73
Antofagasta,2015,1,28.09
Antofagasta,2015,2,27.65
Antofagasta,2015,3,27.57
Antofagasta,2015,4,28.64
Antofagasta,2015,5,28.08
Antofagasta,2015,6,26.31
Antofagasta,2015,7,26.97
Antofagasta,2015,8,26.89
Antofagasta,2015,9,23.96
Antofagasta,2015,10,25.33
Antofagasta,2015,11,25.5
Antofagasta,2015,12,21.35
Antofagasta,2015,13,16.68
Antofagasta,2015,14,19.33
Antofagasta,2015,15,18.43
Antofagasta,2015,16,19.45
Antofagasta,2015,17,16.75
Antofagasta,2015,18,16.15
Antofagasta,2015,19,17.58
Antofagasta,2015,20,15.97
Antofagasta,2015,21,13.76
Antofagasta,2015,22,13.69
Antofagasta,2015,23,14.75
Antofagasta,2015,24,15.02
Antofagasta,2015,25,14.54
Antofagasta,2015,26,13.81
Antofagasta,2015,27,14.1
Antofagasta,2015,28,14.89
Antofagasta,2015,29,14.41
Antofagasta,2015,30,15.39
Antofagasta,2015,31,16.62
Antofagasta,2015,32,15.8
Antofagasta,2015,33,16.22
Antofagasta,2015,34,18.85
Antofagasta,2015,35,20.75
Antofagasta,2015,36,21.46
Antofagasta,2015,37,23.3
Antofagasta,2015,38,23.29
Antofagasta,2015,39,23.87
Antofagasta,2015,40,26.34
Antofagasta,2015,41,26.12
Antofagasta,2015,42,26.06
Antofagasta,2015,43,28.54
Antofagasta,2015,44,27.68
Antofagasta,2015,45,28.94
Antofagasta,2015,46,28.19
Antofagasta,2015,47,29.16
Antofagasta,2015,48,30.02
Antofagasta,2015,49,30.23
Antofagasta,2015,50,29.88
Antofagasta,2015,51,28.49
Antofagasta,2015,52,29.96
Antofagasta,2015,53,30.07
Antofagasta,2016,1,30.63
Antofagasta,2016,2,29.08
Antofagasta,2016,3,28.46
Antofagasta,2016,4,28.74
Antofagasta,2016,5,28.82
Antofagasta,2016,6,25.13
Antofagasta,2016,7,26.15
Antofagasta,2016,8,26.04
Antofagasta,2016,9,26.06
Antofagasta,2016,10,24.91
Antofagasta,2016,11,21.59
Antofagasta,2016,12,21.83
Antofagasta,2016,13,20.81
Antofagasta,2016,14,19.45
Antofagasta,2016,15,19.38
Antofagasta,2016,16,17.52
Antofagasta,2016,17,19.35
Antofagasta,2016,18,16.01
Antofagasta,2016,19,16.33
Antofagasta,2016,20,15.94
Antofagasta,2016,21,15.76
Antofagasta,2016,22,16.22
Antofagasta,2016,23,15.25
Antofagasta,2016,24,14.57
Antofagasta,2016,25,14.16
Antofagasta,2016,26,13.43
Antofagasta,2016,27,14.69
Antofagasta,2016,28,15.01
Antofagasta,2016,29,15.93
Antofagasta,2016,30,15.77
Antofagasta,2016,31,16.42
Antofagasta,2016,32,17.45
Antofagasta,2016,33,19.37
Antofagasta,2016,34,19.54
Antofagasta,2016,35,21.05
Antofagasta,2016,36,22.64
Antofagasta,2016,37,20.46
Antofagasta,2016,38,22.91
Antofagasta,2016,39,23.36
Antofagasta,2016,40,25.51
Antofagasta,2016,41,27.93
Antofagasta,2016,42,27.59
Antofagasta,2016,43,29.28
Antofagasta,2016,44,28.42
Antofagasta,2016,45,28.6
Antofagasta,2016,46,29.47
Antofagasta,2016,47,29.34
Antofagasta,2016,48,29.59
Antofagasta,2016,49,30.36
Antofagasta,2016,50,28.47
Antofagasta,2016,51,29.2
Antofagasta,2016,52,29.26
Antofagasta,2017,1,30.78
Antofagasta,2017,2,30.41
Antofagasta,2017,3,29.04
Antofagasta,2017,4,29.89
Antofagasta,2017,5,28.93
Antofagasta,2017,6,29.66
Antofagasta,2017,7,28.96
Antofagasta,2017,8,26.86
Antofagasta,2017,9,25.6
Antofagasta,2017,10,25.13
Antofagasta,2017,11,24.29
Antofagasta,2017,12,24.15
Antofagasta,2017,13,21.89
Antofagasta,2017,14,21.53
Antofagasta,2017,15,20.8
Antofagasta,2017,16,19.81
Antofagasta,2017,17,18.87
Antofagasta,2017,18,17.8
Antofagasta,2017,19,16.74
Antofagasta,2017,20,16.34
Antofagasta,2017,21,14.39
Antofagasta,2017,22,15.59
Antofagasta,2017,23,11.99
Antofagasta,2017,24,13.49
Antofagasta,2017,25,13.67
Antofagasta,2017,26,13.97
Antofagasta,2017,27,14.19
Antofagasta,2017,28,14.49
Antofagasta,2017,29,15.13
Antofagasta,2017,30,14.9
