EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,NivelAtencion,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,TipoEstablecimiento_Centro de Diagnóstico y Terapeútico (CDT),TipoEstablecimiento_Centro de Salud Familiar (CESFAM),TipoEstablecimiento_Hospital,TipoEstablecimiento_Hospital ,TipoEstablecimiento_Servicio de Atención Primaria de Urgencia (SAPU),TipoEstablecimiento_Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),TipoEstablecimiento_Servicio de Urgencia Rural (SUR),DependenciaAdministrativa_Delegados ,DependenciaAdministrativa_Municipal,DependenciaAdministrativa_Municipal ,DependenciaAdministrativa_Otra Institución,DependenciaAdministrativa_Servicio de Salud,TipoUrgencia_NO APLICA,TipoUrgencia_PENDIENTE,TipoUrgencia_URGENCIA AMBULATORIA,TipoUrgencia_URGENCIA AMBULATORIA (SAPU),TipoUrgencia_URGENCIA AMBULATORIA (SAR),TipoUrgencia_URGENCIA AMBULATORIA (SUR),TipoUrgencia_URGENCIA ESPECIALIZADA,TipoUrgencia_URGENCIA HOSPITALARIA (UEH),Causa_Bronquitis/Bronquiolitis aguda (J20-J21),"Causa_COVID-19, virus identificado (U07.1)","Causa_COVID-19, virus no identificado (U07.2)",Causa_Crisis obstructiva bronquial (J40-J46),Causa_IRA alta (J00-J06),Causa_Influenza (J09-J11),Causa_Neumonía (J12-J18),"Causa_Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
200118,13,13103,10,1,1.0,2023,29,5,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
200165,14,14101,22,1,1.0,2026,3,5,4,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
123100,10,10301,23,3,3.0,2017,22,6,66,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
120103,8,8306,20,1,1.0,2023,23,4,64,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
111804,13,13119,11,1,1.0,2020,10,34,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
126102,12,12301,26,1,1.0,2018,29,6,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
115803,6,6101,15,1,1.0,2021,14,6,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
102803,1,1401,2,1,1.0,2021,24,6,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
105804,4,4102,5,1,1.0,2014,36,4,174,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
200623,6,6310,15,1,1.0,2021,40,4,80,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
123104,10,10306,23,1,1.0,2022,38,4,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
200170,11,11101,25,1,1.0,2024,11,5,4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
124145,10,10402,24,1,1.0,2019,8,9,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
113802,13,13130,13,1,1.0,2022,34,9,5,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
200138,13,13124,10,1,1.0,2024,13,9,21,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
200743,13,13302,9,1,1.0,2025,41,9,7,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
121116,9,9116,21,1,1.0,2025,42,34,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
122101,14,14102,22,1,1.0,2015,14,8,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
200784,7,7203,16,1,1.0,2021,47,8,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
102807,1,1107,2,1,1.0,2024,38,5,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
200738,4,4304,5,1,1.0,2026,12,6,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
128110,8,8201,28,1,1.0,2016,19,9,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
107102,5,5801,7,3,3.0,2019,10,4,63,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
111809,13,13119,11,1,1.0,2022,7,8,10,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
119801,8,8112,19,1,1.0,2024,40,8,31,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
200973,8,8302,20,1,1.0,2023,21,35,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
200143,13,13123,12,1,1.0,2022,45,34,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
200928,4,4102,5,1,1.0,2021,45,7,2,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
119807,8,8110,19,1,1.0,2019,15,6,7,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
200495,8,8301,20,1,1.0,2025,28,9,19,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
128113,8,8202,28,1,1.0,2017,13,4,134,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
113808,13,13116,13,1,1.0,2018,7,4,86,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
119101,8,8111,19,3,3.0,2021,35,8,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
117801,16,16101,17,1,1.0,2019,19,7,52,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
200788,14,14103,22,1,1.0,2025,39,7,10,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
201079,12,12401,26,1,1.0,2022,52,5,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
121803,9,9101,21,1,1.0,2022,43,34,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
105802,4,4101,5,1,1.0,2024,24,4,98,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
133155,10,10202,33,3,2.0,2025,36,4,41,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
200854,6,6104,15,1,1.0,2022,33,8,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
117107,16,16104,17,1,1.0,2025,10,8,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
116102,7,7304,16,1,1.0,2019,30,6,7,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
107805,5,5103,7,1,1.0,2015,18,9,6,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
200733,10,10203,33,1,1.0,2023,28,9,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
118812,8,8102,18,1,1.0,2023,39,4,383,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
102100,1,1101,2,3,3.0,2014,13,7,14,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
112820,13,13120,12,1,1.0,2020,34,7,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
200762,7,7309,16,1,1.0,2025,41,5,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
124140,10,10404,24,1,1.0,2026,18,6,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
103800,2,2101,3,1,1.0,2016,22,4,385,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
107105,5,5401,7,1,1.0,2018,40,4,107,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
105104,4,4204,5,1,1.0,2022,29,4,23,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
200041,13,13107,9,1,1.0,2023,13,4,145,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
201004,5,5503,7,1,1.0,2023,13,4,54,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
128112,8,8204,28,1,1.0,2021,44,8,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
110891,13,13601,10,1,1.0,2014,44,7,14,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
