EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,Causa
200144,13,13110,14,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2016,2,9,3,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
102807,1,1107,2,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2014,36,4,93,IRA alta (J00-J06)
200177,8,8301,20,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2025,25,4,57,IRA alta (J00-J06)
122105,14,14204,22,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2018,13,8,6,Crisis obstructiva bronquial (J40-J46)
113812,13,13105,13,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2022,45,7,48,Bronquitis/Bronquiolitis aguda (J20-J21)
109805,13,13107,9,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2016,44,5,1,Influenza (J09-J11)
118810,8,8101,18,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2019,31,5,8,Influenza (J09-J11)
116809,7,7401,16,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2021,7,5,0,Influenza (J09-J11)
114805,13,13110,14,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2017,46,6,13,Neumonía (J12-J18)
200117,13,13106,11,Servicio de Atención Primaria de Urgencia (SAPU),Servicio de Salud,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2024,35,9,0,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
