Causa,total
- Causas sistema respiratorio (J00-J98),335374
TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),335374
Neumonía (J12-J18),335374
Crisis obstructiva bronquial (J40-J46),335374
Bronquitis/bronquiolitis aguda (J20-J21),335374
Influenza (J09-J11),335374
IRA Alta (J00-J06),335374
"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",335374
"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",196388
TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,196383
"- Por covid-19, virus identificado U07.1",196383
"- Por covid-19, virus no identificado U07.2",194408
