EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas
,,,,,,,,,,,,,,,2026,16,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,31,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,41,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",5,0,0,0,4,1
,,,,,,,,,,,,,,,2026,14,7,Bronquitis/bronquiolitis aguda (J20-J21),7,0,0,2,3,2
,,,,,,,,,,,,,,,2025,41,7,Bronquitis/bronquiolitis aguda (J20-J21),13,0,1,3,8,1
,,,,,,,,,,,,,,,2023,41,8,Crisis obstructiva bronquial (J40-J46),3,0,1,0,0,2
,,,,,,,,,,,,,,,2026,7,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,16,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,10,4,IRA Alta (J00-J06),0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,52,8,Crisis obstructiva bronquial (J40-J46),1,0,0,0,1,0
,,,,,,,,,,,,,,,2025,12,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,37,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",16,0,1,3,9,3
,,,,,,,,,,,,,,,2022,37,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,14,0,1,2,10,1
,,,,,,,,,,,,,,,2025,34,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,4,6,Neumonía (J12-J18),2,0,0,1,1,0
,,,,,,,,,,,,,,,2025,18,6,Neumonía (J12-J18),8,0,0,0,1,7
,,,,,,,,,,,,,,,2022,43,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),8,0,1,3,3,1
,,,,,,,,,,,,,,,2025,36,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),89,2,14,29,35,9
,,,,,,,,,,,,,,,2025,15,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,47,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",2,0,0,1,0,1
,,,,,,,,,,,,,,,2025,53,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,2,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),25,0,1,5,14,5
,,,,,,,,,,,,,,,2026,3,7,Bronquitis/bronquiolitis aguda (J20-J21),20,2,6,1,8,3
,,,,,,,,,,,,,,,2025,21,7,Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,43,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,43,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,14,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,5,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),81,1,4,10,50,16
,,,,,,,,,,,,,,,2023,6,7,Bronquitis/bronquiolitis aguda (J20-J21),1,0,0,0,0,1
,,,,,,,,,,,,,,,2026,1,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,44,7,Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,53,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,23,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,17,6,Neumonía (J12-J18),1,0,0,0,0,1
,,,,,,,,,,,,,,,2024,45,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,11,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,10,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,34,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),95,4,9,26,51,5
