order,seasonal_order,aic,bic,rmse_val,mae_val,mape_val
"(1, 0, 0)","(0, 1, 0, 52)",10767.970915156091,10776.267851747927,33042.78368396354,27265.042239186863,0.15494095549329853
"(0, 0, 2)","(0, 1, 0, 52)",11406.849972041382,11419.282528943759,33274.02890702798,25959.846273564777,0.139271322151049
"(1, 0, 1)","(0, 1, 0, 52)",10710.151403837426,10722.590391610433,33295.44081323859,27772.832650287546,0.1592933656348589
"(0, 0, 1)","(0, 1, 0, 52)",11562.825955648728,11571.118614164066,33301.71316001773,25789.33962264151,0.13872216779528654
"(1, 0, 2)","(0, 1, 0, 52)",10685.553930277325,10702.130672813828,33438.686802046686,27735.625905029578,0.15996316415443423
"(2, 0, 0)","(0, 1, 0, 52)",10703.081246527256,10715.520234300262,33570.2334531649,27786.693967004343,0.1607422052213528
"(2, 0, 1)","(0, 1, 0, 52)",10703.2801073374,10719.865424368076,33731.8007288827,27745.69700689903,0.161123260506631
"(2, 0, 2)","(0, 1, 0, 52)",10683.026601518108,10703.747529688737,33760.326128837805,27755.283923672978,0.16129396423008302
"(0, 0, 0)","(0, 1, 0, 52)",11928.550629816353,11932.69909811227,34429.43929612103,25789.33962264151,0.14365538477646428
"(0, 0, 0)","(1, 1, 0, 52)",10641.292000616277,10649.358173059874,35025.1144379485,27481.555128075335,0.15399192505703063
"(0, 0, 1)","(1, 1, 0, 52)",10324.727474364572,10336.826733029968,35266.85996279562,28698.75712626529,0.1596618135625479
"(0, 0, 0)","(1, 1, 1, 52)",10594.504092274274,10606.596148055058,36587.72229339584,28897.20142593192,0.14209248368894517
"(0, 0, 1)","(1, 1, 1, 52)",10262.920713972133,10279.033828053056,37446.551741923075,29648.572210418206,0.1435315823133926
"(0, 0, 2)","(1, 1, 0, 52)",10201.651345124206,10217.783690011402,37473.581132783744,30861.841313235193,0.1745166851564924
"(0, 0, 0)","(0, 1, 1, 52)",10614.610533295396,10622.671903815919,38172.94185958874,30863.71765304275,0.1583606064340259
"(0, 0, 2)","(1, 1, 1, 52)",10124.008190941373,10144.1375208105,39104.94357110579,30717.876890510568,0.15027108090536218
"(0, 0, 1)","(0, 1, 1, 52)",10266.372578912411,10278.457414473103,39510.737576210486,31806.43911661424,0.16029114305915332
"(0, 0, 2)","(0, 1, 1, 52)",10122.812770624714,10138.916234520015,40196.248632410374,32024.081516873113,0.16106348805491902
"(2, 0, 1)","(1, 1, 0, 52)",9410.71176090436,9430.853153505514,41753.87829105153,34997.62917951345,0.20234487207607246
"(2, 0, 2)","(1, 1, 0, 52)",9413.585769472124,9437.755440593508,41767.16293079121,35012.65245955539,0.2024073026077306
"(2, 0, 0)","(1, 1, 0, 52)",9408.76675334568,9424.879867426604,41899.3371116035,35123.22205359071,0.20345582342238805
"(1, 0, 2)","(1, 1, 0, 52)",9435.477303673142,9455.630729974448,42513.23490389727,35614.48051392951,0.2078305208937768
"(1, 0, 1)","(1, 1, 0, 52)",9436.789868280335,9452.91260932138,43021.96128071205,36019.47970768061,0.21140232422523417
"(1, 0, 0)","(1, 1, 0, 52)",9468.352347944285,9480.444403725069,45127.64553483996,37221.09012645505,0.22415342044201791
"(1, 0, 1)","(0, 1, 1, 52)",9396.65260874138,9412.765722822303,45230.14362939368,37847.27709263115,0.19854420629487549
"(1, 0, 2)","(0, 1, 1, 52)",9373.69385991892,9393.823189788047,45345.27020625748,37909.98683082946,0.197432943282422
"(1, 0, 0)","(0, 1, 1, 52)",9447.004230235085,9459.096286015869,45424.42221129124,38001.55467515899,0.20576367708175755
"(2, 0, 0)","(0, 1, 1, 52)",9412.754751676614,9428.877492717658,45791.3189491688,38336.218214269604,0.19770233428338246
"(2, 0, 1)","(0, 1, 1, 52)",9392.621079831622,9412.762472432776,46023.63335092537,38516.93675252593,0.1974770385225338
"(2, 0, 2)","(0, 1, 1, 52)",9373.613245699478,9397.76844154243,46152.577484112975,38650.89421110149,0.19787311306884978
"(1, 0, 0)","(1, 1, 1, 52)",9448.554492717005,9464.67723375805,46290.90242548123,38394.82261103953,0.21208722938914992
"(1, 0, 2)","(1, 1, 1, 52)",9374.891087060954,9399.046282903906,46291.36555297722,38486.124593137814,0.20573292636048388
"(1, 0, 1)","(1, 1, 1, 52)",9397.727294723896,9417.86868732505,46305.541455999584,38500.78009418937,0.20764392211824143
"(2, 0, 0)","(1, 1, 1, 52)",9392.25976711655,9412.401159717703,46507.66189801247,38744.46406057184,0.2043386012214623
"(2, 0, 1)","(1, 1, 1, 52)",9394.158560729069,9418.328231850453,46620.16268032975,38850.86243063892,0.20359201375424196
"(2, 0, 2)","(1, 1, 1, 52)",9375.159086118023,9403.3401479348,46748.84569030838,38979.70965644284,0.20388508224453442
