order,seasonal_order,aic,bic,rmse_val,mae_val,mape_val
"(1, 0, 0)","(0, 1, 0, 52)",10767.970915156091,10776.267851747927,33042.78368396354,27265.042239186863,0.15494095549329853
"(0, 0, 2)","(0, 1, 0, 52)",11406.849972041382,11419.282528943759,33274.02890702798,25959.846273564777,0.139271322151049
"(1, 0, 1)","(0, 1, 0, 52)",10710.151403837426,10722.590391610433,33295.44081323859,27772.832650287546,0.1592933656348589
"(0, 0, 1)","(0, 1, 0, 52)",11562.825955648728,11571.118614164066,33301.71316001773,25789.33962264151,0.13872216779528654
"(1, 0, 2)","(0, 1, 0, 52)",10685.553930277325,10702.130672813828,33438.686802046686,27735.625905029578,0.15996316415443423
"(2, 0, 0)","(0, 1, 0, 52)",10703.081246527256,10715.520234300262,33570.2334531649,27786.693967004343,0.1607422052213528
"(2, 0, 1)","(0, 1, 0, 52)",10703.2801073374,10719.865424368076,33731.8007288827,27745.69700689903,0.161123260506631
"(2, 0, 2)","(0, 1, 0, 52)",10683.026601518108,10703.747529688737,33760.326128837805,27755.283923672978,0.16129396423008302
"(0, 0, 0)","(0, 1, 0, 52)",11928.550629816353,11932.69909811227,34429.43929612103,25789.33962264151,0.14365538477646428
"(0, 0, 0)","(1, 1, 0, 52)",10641.292000616277,10649.358173059874,35025.1144379485,27481.555128075335,0.15399192505703063
