EstablecimientoCodigo,Cluster,Volumen_Total,Promedio_Semanal,Max_Semanal,Semanas_Con_Datos,RegionCodigo,ServicioSaludCodigo,NivelAtencion,NivelComplejidad,RegionNombre
111100,0,220116.0,337.0842266462481,1107.0,630,13,11,3,3.0,Metropolitana
125100,0,211497.0,323.88514548238896,1229.0,652,11,25,3,3.0,Aysén
116802,0,207732.0,318.11944869831547,1053.0,651,7,16,1,1.0,Maule
200123,0,202589.0,310.24349157733536,852.0,653,13,10,1,1.0,Metropolitana
200124,0,198613.0,304.1546707503828,887.0,631,13,10,1,1.0,Metropolitana
118814,0,196156.0,300.3920367534456,799.0,653,8,18,1,1.0,Biobío
102806,0,193003.0,295.5635528330781,677.0,652,1,2,1,1.0,Tarapacá
200118,0,192099.0,294.1791730474732,895.0,652,13,10,1,1.0,Metropolitana
111101,0,191378.0,293.0750382848392,1294.0,650,13,11,3,3.0,Metropolitana
200122,0,190467.0,291.6799387442573,898.0,648,13,10,1,1.0,Metropolitana
117102,0,188797.0,289.12251148545175,797.0,653,16,17,3,3.0,Ñuble
200130,0,188678.0,288.94027565084224,848.0,653,13,10,1,1.0,Metropolitana
112102,0,187927.0,287.79019908116385,866.0,653,13,12,3,3.0,Metropolitana
116803,0,185724.0,284.41653905053596,932.0,644,7,16,1,1.0,Maule
126100,0,184744.0,282.9157733537519,980.0,653,12,26,3,3.0,Magallanes
114805,0,184584.0,282.6707503828484,763.0,653,13,14,1,1.0,Metropolitana
113823,0,184281.0,282.20673813169986,919.0,653,13,13,1,1.0,Metropolitana
120815,0,183339.0,280.76416539050535,984.0,653,8,20,1,1.0,Biobío
116840,0,180506.0,276.4257274119449,855.0,653,7,16,1,1.0,Maule
200150,0,179048.0,274.1929555895865,652.0,653,8,18,1,1.0,Biobío
116820,0,178418.0,273.22817764165393,966.0,653,7,16,1,1.0,Maule
122100,0,177867.0,272.3843797856049,990.0,653,14,22,3,3.0,Los Ríos
116829,0,174260.0,266.8606431852986,664.0,653,7,16,1,1.0,Maule
129803,0,173727.0,266.04441041347627,802.0,643,9,29,1,1.0,Araucanía
115107,0,173339.0,265.4502297090352,868.0,653,6,15,3,3.0,O'Higgins
129100,0,172269.0,263.8116385911179,816.0,653,9,29,3,3.0,Araucanía
200085,0,171145.0,262.0903522205207,614.0,653,10,23,1,1.0,Los Lagos
120102,0,170739.0,261.468606431853,717.0,653,8,20,1,1.0,Biobío
114804,0,170727.0,261.4502297090352,774.0,653,13,14,1,1.0,Metropolitana
200133,0,169919.0,260.21286370597244,767.0,653,13,10,1,1.0,Metropolitana
200138,0,169552.0,259.65084226646246,1231.0,653,13,10,1,1.0,Metropolitana
119100,0,168579.0,258.16079632465545,725.0,653,8,19,3,3.0,Biobío
121109,0,167408.0,256.36753445635526,744.0,653,9,21,3,3.0,Araucanía
118818,0,167305.0,256.20980091883615,779.0,653,8,18,1,1.0,Biobío
109805,0,166845.0,255.5053598774885,716.0,653,13,9,1,1.0,Metropolitana
123800,0,166790.0,255.42113323124042,680.0,653,10,23,1,1.0,Los Lagos
113829,0,166628.0,255.17304747320063,818.0,653,13,13,1,1.0,Metropolitana
118100,0,166178.0,254.48392036753447,655.0,653,8,18,3,3.0,Biobío
121803,0,165396.0,253.2863705972435,776.0,653,9,21,1,1.0,Araucanía
124810,0,164673.0,252.1791730474732,2582.0,653,10,24,1,1.0,Los Lagos
103800,0,163201.0,249.9249617151608,587.0,652,2,3,1,1.0,Antofagasta
109824,0,162522.0,248.88514548238896,746.0,653,13,9,1,1.0,Metropolitana
113802,0,161465.0,247.26646248085757,908.0,653,13,13,1,1.0,Metropolitana
102800,0,160439.0,245.69525267993873,648.0,653,1,2,1,1.0,Tarapacá
113815,0,159486.0,244.23583460949465,690.0,652,13,13,1,1.0,Metropolitana
123801,0,158373.0,242.53139356814702,618.0,653,10,23,1,1.0,Los Lagos
117801,0,157607.0,241.3583460949464,842.0,653,16,17,1,1.0,Ñuble
120811,0,157382.0,241.01378254211332,900.0,650,8,20,1,1.0,Biobío
111806,0,157090.0,240.5666156202144,612.0,653,13,11,1,1.0,Metropolitana
114807,0,156934.0,240.32771822358347,685.0,653,13,14,1,1.0,Metropolitana
114819,0,156800.0,240.12251148545175,640.0,653,13,14,1,1.0,Metropolitana
111804,0,155264.0,237.77029096477796,824.0,653,13,11,1,1.0,Metropolitana
115100,0,155098.0,237.51607963246553,630.0,653,6,15,3,3.0,O'Higgins
113828,0,155058.0,237.45482388973966,684.0,653,13,13,1,1.0,Metropolitana
111805,0,154472.0,236.55742725880552,728.0,653,13,11,1,1.0,Metropolitana
112816,0,154336.0,236.3491577335375,802.0,653,13,12,1,1.0,Metropolitana
112820,0,153388.0,234.89739663093414,798.0,635,13,12,1,1.0,Metropolitana
112815,0,153334.0,234.8147013782542,697.0,653,13,12,1,1.0,Metropolitana
118806,0,152297.0,233.22664624808576,572.0,653,8,18,1,1.0,Biobío
112818,0,151998.0,232.7687595712098,620.0,653,13,12,1,1.0,Metropolitana
106826,0,151910.0,232.63399693721286,712.0,653,5,6,1,1.0,Valparaíso
113803,0,151487.0,231.98621745788668,594.0,653,13,13,1,1.0,Metropolitana
200125,0,151464.0,231.9509954058193,777.0,653,13,10,1,1.0,Metropolitana
113890,0,151451.0,231.93108728943338,717.0,653,13,13,1,1.0,Metropolitana
118106,0,151384.0,231.82848392036755,798.0,653,8,18,3,3.0,Biobío
124105,0,150020.0,229.739663093415,658.0,652,10,24,3,3.0,Los Lagos
105805,0,149863.0,229.49923430321593,631.0,645,4,5,1,1.0,Coquimbo
115104,0,148811.0,227.88820826952528,771.0,647,6,15,3,2.0,O'Higgins
109813,0,148392.0,227.24655436447168,737.0,650,13,9,1,1.0,Metropolitana
113813,0,148157.0,226.8866768759571,586.0,653,13,13,1,1.0,Metropolitana
114809,0,148083.0,226.77335375191424,574.0,652,13,14,1,1.0,Metropolitana
