region,anio,semana,pm2_5_ug_m3,pm10_ug_m3
Antofagasta,2014,1,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,2,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,3,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,4,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,5,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,6,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,7,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,8,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,9,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,10,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,11,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,12,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,13,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,14,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,15,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,16,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,17,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,18,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,19,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,20,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,21,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,22,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,23,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,24,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,25,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,26,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,27,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,28,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,29,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
Antofagasta,2014,30,Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional),Vacío: Registro histórico no disponible en modelo CAMS (Previo a lanzamiento operacional)
