region,anio,semana,humedad_relativa_promedio_porcentaje
Antofagasta,2014,1,79.4
Antofagasta,2014,2,79.86
Antofagasta,2014,3,80.57
Antofagasta,2014,4,80.0
Antofagasta,2014,5,78.71
Antofagasta,2014,6,79.14
Antofagasta,2014,7,78.71
Antofagasta,2014,8,79.71
Antofagasta,2014,9,80.43
Antofagasta,2014,10,81.43
Antofagasta,2014,11,82.0
Antofagasta,2014,12,84.86
Antofagasta,2014,13,84.14
Antofagasta,2014,14,83.43
Antofagasta,2014,15,81.71
Antofagasta,2014,16,84.86
Antofagasta,2014,17,86.29
Antofagasta,2014,18,84.71
Antofagasta,2014,19,87.86
Antofagasta,2014,20,85.29
Antofagasta,2014,21,81.14
Antofagasta,2014,22,78.14
Antofagasta,2014,23,82.29
Antofagasta,2014,24,74.0
Antofagasta,2014,25,81.57
Antofagasta,2014,26,80.57
Antofagasta,2014,27,81.71
Antofagasta,2014,28,78.57
Antofagasta,2014,29,76.43
Antofagasta,2014,30,73.86
Antofagasta,2014,31,73.71
Antofagasta,2014,32,82.43
Antofagasta,2014,33,74.57
Antofagasta,2014,34,84.0
Antofagasta,2014,35,70.43
Antofagasta,2014,36,73.14
Antofagasta,2014,37,81.29
Antofagasta,2014,38,79.43
Antofagasta,2014,39,80.86
Antofagasta,2014,40,81.14
Antofagasta,2014,41,84.57
Antofagasta,2014,42,81.29
Antofagasta,2014,43,79.57
Antofagasta,2014,44,83.14
Antofagasta,2014,45,81.14
Antofagasta,2014,46,78.57
Antofagasta,2014,47,81.0
Antofagasta,2014,48,80.71
Antofagasta,2014,49,79.14
Antofagasta,2014,50,79.29
Antofagasta,2014,51,78.57
Antofagasta,2014,52,79.57
Antofagasta,2015,1,80.43
Antofagasta,2015,2,82.43
Antofagasta,2015,3,82.0
Antofagasta,2015,4,78.71
Antofagasta,2015,5,79.71
Antofagasta,2015,6,81.14
Antofagasta,2015,7,80.14
Antofagasta,2015,8,79.71
Antofagasta,2015,9,82.43
Antofagasta,2015,10,82.57
Antofagasta,2015,11,81.43
Antofagasta,2015,12,84.71
Antofagasta,2015,13,88.0
Antofagasta,2015,14,87.43
Antofagasta,2015,15,85.57
Antofagasta,2015,16,85.0
Antofagasta,2015,17,86.43
Antofagasta,2015,18,87.71
Antofagasta,2015,19,77.71
Antofagasta,2015,20,84.14
Antofagasta,2015,21,84.57
Antofagasta,2015,22,85.29
Antofagasta,2015,23,84.29
Antofagasta,2015,24,80.57
Antofagasta,2015,25,75.14
Antofagasta,2015,26,79.14
Antofagasta,2015,27,77.86
Antofagasta,2015,28,78.29
Antofagasta,2015,29,77.43
Antofagasta,2015,30,77.14
Antofagasta,2015,31,80.57
Antofagasta,2015,32,73.57
Antofagasta,2015,33,82.14
Antofagasta,2015,34,75.14
Antofagasta,2015,35,74.86
Antofagasta,2015,36,81.14
Antofagasta,2015,37,66.0
Antofagasta,2015,38,74.29
Antofagasta,2015,39,78.29
Antofagasta,2015,40,76.0
Antofagasta,2015,41,78.0
Antofagasta,2015,42,76.29
Antofagasta,2015,43,73.43
Antofagasta,2015,44,79.0
Antofagasta,2015,45,77.43
Antofagasta,2015,46,79.14
Antofagasta,2015,47,78.57
Antofagasta,2015,48,78.57
Antofagasta,2015,49,79.57
Antofagasta,2015,50,80.57
Antofagasta,2015,51,80.86
Antofagasta,2015,52,78.0
Antofagasta,2015,53,79.57
Antofagasta,2016,1,78.29
Antofagasta,2016,2,80.43
Antofagasta,2016,3,78.86
Antofagasta,2016,4,79.29
Antofagasta,2016,5,79.29
Antofagasta,2016,6,82.14
Antofagasta,2016,7,81.71
Antofagasta,2016,8,81.43
Antofagasta,2016,9,82.86
Antofagasta,2016,10,82.0
Antofagasta,2016,11,84.86
Antofagasta,2016,12,84.29
Antofagasta,2016,13,84.29
Antofagasta,2016,14,84.0
Antofagasta,2016,15,84.57
Antofagasta,2016,16,86.29
Antofagasta,2016,17,80.29
Antofagasta,2016,18,84.71
Antofagasta,2016,19,77.71
Antofagasta,2016,20,80.14
Antofagasta,2016,21,76.71
Antofagasta,2016,22,66.14
Antofagasta,2016,23,71.43
Antofagasta,2016,24,79.14
Antofagasta,2016,25,77.43
Antofagasta,2016,26,78.43
Antofagasta,2016,27,67.57
Antofagasta,2016,28,79.86
Antofagasta,2016,29,73.14
Antofagasta,2016,30,80.86
Antofagasta,2016,31,81.14
Antofagasta,2016,32,80.71
Antofagasta,2016,33,75.0
Antofagasta,2016,34,79.14
Antofagasta,2016,35,77.29
Antofagasta,2016,36,71.14
Antofagasta,2016,37,85.0
Antofagasta,2016,38,83.43
Antofagasta,2016,39,83.43
Antofagasta,2016,40,81.29
Antofagasta,2016,41,74.43
Antofagasta,2016,42,76.29
Antofagasta,2016,43,79.14
Antofagasta,2016,44,79.29
Antofagasta,2016,45,80.0
Antofagasta,2016,46,76.0
Antofagasta,2016,47,78.71
Antofagasta,2016,48,79.57
Antofagasta,2016,49,77.14
Antofagasta,2016,50,81.0
Antofagasta,2016,51,79.86
Antofagasta,2016,52,79.0
Antofagasta,2017,1,77.57
Antofagasta,2017,2,76.71
Antofagasta,2017,3,73.71
Antofagasta,2017,4,72.43
Antofagasta,2017,5,75.57
Antofagasta,2017,6,76.14
Antofagasta,2017,7,76.57
Antofagasta,2017,8,77.86
Antofagasta,2017,9,78.0
Antofagasta,2017,10,81.71
Antofagasta,2017,11,81.14
Antofagasta,2017,12,81.0
Antofagasta,2017,13,83.43
Antofagasta,2017,14,82.0
Antofagasta,2017,15,84.57
Antofagasta,2017,16,78.71
Antofagasta,2017,17,84.0
Antofagasta,2017,18,83.57
Antofagasta,2017,19,78.43
Antofagasta,2017,20,75.29
Antofagasta,2017,21,80.86
Antofagasta,2017,22,85.57
Antofagasta,2017,23,88.14
Antofagasta,2017,24,89.57
Antofagasta,2017,25,84.71
Antofagasta,2017,26,86.0
Antofagasta,2017,27,87.29
Antofagasta,2017,28,83.29
Antofagasta,2017,29,84.14
Antofagasta,2017,30,86.43
Antofagasta,2017,31,85.71
Antofagasta,2017,32,78.86
Antofagasta,2017,33,82.29
Antofagasta,2017,34,84.14
Antofagasta,2017,35,84.29
Antofagasta,2017,36,80.0
Antofagasta,2017,37,78.71
Antofagasta,2017,38,83.29
Antofagasta,2017,39,84.0
Antofagasta,2017,40,80.57
Antofagasta,2017,41,80.43
Antofagasta,2017,42,81.71
Antofagasta,2017,43,80.14
Antofagasta,2017,44,81.86
Antofagasta,2017,45,80.86
Antofagasta,2017,46,78.71
Antofagasta,2017,47,80.0
Antofagasta,2017,48,77.29
Antofagasta,2017,49,79.71
Antofagasta,2017,50,78.14
